csn,alarm_id,alarm_name,severity,cleared,acked,source,product,ip,ne_dn,cell_name,enodeb_id,gnodeb_id,location,occur_time,arrive_time,moi,additional_info
406658018,29240,Cell Unavailable,Major,0,0,SR-SPCRJ5,BTS5900,10.238.165.33,NE=3908,4G-SPCRJ5-18-4I,725342,1773918,ROOT/TSP/SRAN/SP/SAO PAULO/CAPAOREDONDO_SAOLUIZ,2026-06-24 15:22:31,2026-06-24 15:24:00,"eNodeB Function Name=4G-SPCRJ5, Local Cell ID=64, Cell FDD TDD indication=FDD, NB-IoT Cell Flag=FALSE, Cell Name=4G-SPCRJ5-18-4I, eNodeB ID=725342, Cell ID=64, Specific Problem=Insufficient CPRI bandwidth","RAT_INFO=L-N, AFFECTED_RAT=L, DID=NULL, Cumulative Duration(s)=90, eNodeBId=725342, gNodeBId=1773918"
406658019,29240,Cell Unavailable,Major,0,0,SR-SPCRJ5,BTS5900,10.238.165.33,NE=3908,4G-SPCRJ5-18-1K,725342,1773918,ROOT/TSP/SRAN/SP/SAO PAULO/CAPAOREDONDO_SAOLUIZ,2026-06-24 15:22:31,2026-06-24 15:24:00,"eNodeB Function Name=4G-SPCRJ5, Local Cell ID=71, Cell FDD TDD indication=FDD, NB-IoT Cell Flag=FALSE, Cell Name=4G-SPCRJ5-18-1K, eNodeB ID=725342, Cell ID=71, Specific Problem=Insufficient CPRI bandwidth","RAT_INFO=L-N, AFFECTED_RAT=L, DID=NULL, Cumulative Duration(s)=90, eNodeBId=725342, gNodeBId=1773918"
406658020,29240,Cell Unavailable,Major,0,0,SR-SPCRJ5,BTS5900,10.238.165.33,NE=3908,4G-SPCRJ5-18-2K,725342,1773918,ROOT/TSP/SRAN/SP/SAO PAULO/CAPAOREDONDO_SAOLUIZ,2026-06-24 15:22:31,2026-06-24 15:24:00,"eNodeB Function Name=4G-SPCRJ5, Local Cell ID=72, Cell FDD TDD indication=FDD, NB-IoT Cell Flag=FALSE, Cell Name=4G-SPCRJ5-18-2K, eNodeB ID=725342, Cell ID=72, Specific Problem=Insufficient CPRI bandwidth","RAT_INFO=L-N, AFFECTED_RAT=L, DID=NULL, Cumulative Duration(s)=90, eNodeBId=725342, gNodeBId=1773918"
406658021,29240,Cell Unavailable,Major,0,0,SR-SPCRJ5,BTS5900,10.238.165.33,NE=3908,4G-SPCRJ5-18-3K,725342,1773918,ROOT/TSP/SRAN/SP/SAO PAULO/CAPAOREDONDO_SAOLUIZ,2026-06-24 15:22:31,2026-06-24 15:24:00,"eNodeB Function Name=4G-SPCRJ5, Local Cell ID=73, Cell FDD TDD indication=FDD, NB-IoT Cell Flag=FALSE, Cell Name=4G-SPCRJ5-18-3K, eNodeB ID=725342, Cell ID=73, Specific Problem=Insufficient CPRI bandwidth","RAT_INFO=L-N, AFFECTED_RAT=L, DID=NULL, Cumulative Duration(s)=90, eNodeBId=725342, gNodeBId=1773918"
406658022,29240,Cell Unavailable,Major,0,0,SR-SPCRJ5,BTS5900,10.238.165.33,NE=3908,4G-SPCRJ5-18-4K,725342,1773918,ROOT/TSP/SRAN/SP/SAO PAULO/CAPAOREDONDO_SAOLUIZ,2026-06-24 15:22:31,2026-06-24 15:24:00,"eNodeB Function Name=4G-SPCRJ5, Local Cell ID=74, Cell FDD TDD indication=FDD, NB-IoT Cell Flag=FALSE, Cell Name=4G-SPCRJ5-18-4K, eNodeB ID=725342, Cell ID=74, Specific Problem=Insufficient CPRI bandwidth","RAT_INFO=L-N, AFFECTED_RAT=L, DID=NULL, Cumulative Duration(s)=90, eNodeBId=725342, gNodeBId=1773918"
406658028,29240,Cell Unavailable,Major,0,0,SR-SPCRJ5,BTS5900,10.238.165.33,NE=3908,4G-SPCRJ5-18-2B,725342,1773918,ROOT/TSP/SRAN/SP/SAO PAULO/CAPAOREDONDO_SAOLUIZ,2026-06-24 15:22:33,2026-06-24 15:24:02,"eNodeB Function Name=4G-SPCRJ5, Local Cell ID=217, Cell FDD TDD indication=FDD, NB-IoT Cell Flag=FALSE, Cell Name=4G-SPCRJ5-18-2B, eNodeB ID=725342, Cell ID=217, Specific Problem=RF module abnormal","RAT_INFO=L-N, AFFECTED_RAT=L, DID=NULL, Cumulative Duration(s)=90, eNodeBId=725342, gNodeBId=1773918"
406658029,29240,Cell Unavailable,Major,0,0,SR-SPCRJ5,BTS5900,10.238.165.33,NE=3908,4G-SPCRJ5-18-3B,725342,1773918,ROOT/TSP/SRAN/SP/SAO PAULO/CAPAOREDONDO_SAOLUIZ,2026-06-24 15:22:33,2026-06-24 15:24:02,"eNodeB Function Name=4G-SPCRJ5, Local Cell ID=218, Cell FDD TDD indication=FDD, NB-IoT Cell Flag=FALSE, Cell Name=4G-SPCRJ5-18-3B, eNodeB ID=725342, Cell ID=218, Specific Problem=RF module abnormal","RAT_INFO=L-N, AFFECTED_RAT=L, DID=NULL, Cumulative Duration(s)=90, eNodeBId=725342, gNodeBId=1773918"
406658030,29240,Cell Unavailable,Major,0,0,SR-SPCRJ5,BTS5900,10.238.165.33,NE=3908,4G-SPCRJ5-21-3B,725342,1773918,ROOT/TSP/SRAN/SP/SAO PAULO/CAPAOREDONDO_SAOLUIZ,2026-06-24 15:22:33,2026-06-24 15:24:02,"eNodeB Function Name=4G-SPCRJ5, Local Cell ID=198, Cell FDD TDD indication=FDD, NB-IoT Cell Flag=FALSE, Cell Name=4G-SPCRJ5-21-3B, eNodeB ID=725342, Cell ID=198, Specific Problem=RF module abnormal","RAT_INFO=L-N, AFFECTED_RAT=L, DID=NULL, Cumulative Duration(s)=90, eNodeBId=725342, gNodeBId=1773918"
406658031,29240,Cell Unavailable,Major,0,0,SR-SPCRJ5,BTS5900,10.238.165.33,NE=3908,4G-SPCRJ5-21-4B,725342,1773918,ROOT/TSP/SRAN/SP/SAO PAULO/CAPAOREDONDO_SAOLUIZ,2026-06-24 15:22:33,2026-06-24 15:24:02,"eNodeB Function Name=4G-SPCRJ5, Local Cell ID=199, Cell FDD TDD indication=FDD, NB-IoT Cell Flag=FALSE, Cell Name=4G-SPCRJ5-21-4B, eNodeB ID=725342, Cell ID=199, Specific Problem=RF module abnormal","RAT_INFO=L-N, AFFECTED_RAT=L, DID=NULL, Cumulative Duration(s)=90, eNodeBId=725342, gNodeBId=1773918"
406658032,29240,Cell Unavailable,Major,0,0,SR-SPCRJ5,BTS5900,10.238.165.33,NE=3908,4G-SPCRJ5-18-1B,725342,1773918,ROOT/TSP/SRAN/SP/SAO PAULO/CAPAOREDONDO_SAOLUIZ,2026-06-24 15:22:33,2026-06-24 15:24:02,"eNodeB Function Name=4G-SPCRJ5, Local Cell ID=216, Cell FDD TDD indication=FDD, NB-IoT Cell Flag=FALSE, Cell Name=4G-SPCRJ5-18-1B, eNodeB ID=725342, Cell ID=216, Specific Problem=RF module abnormal","RAT_INFO=L-N, AFFECTED_RAT=L, DID=NULL, Cumulative Duration(s)=90, eNodeBId=725342, gNodeBId=1773918"
