Alarm Group ID,Alarm Group Name,Alarm ID,Alarm Name,Alarm Severity
8193,GBTS,6486,	-48V Power too High Alarm,Minor
268390408,BSC6910GSM,6486,	-48V Power too High Alarm,Minor
8193,GBTS,6488,	-48V Power too Low Alarm,Minor
268390408,BSC6910GSM,6488,	-48V Power too Low Alarm,Minor
268390408,BSC6910GSM,2260,13M Clock Maintenance Alarm,Warning
8193,GBTS,3718,13M Clock Maintenance Alarm,Warning
268390408,BSC6910GSM,3718,13M Clock Maintenance Alarm,Warning
8193,GBTS,2260,13M Clock Maintenance Alarm,Warning
8193,GBTS,4760,13M Maintenance Alarm,Warning
268390408,BSC6910GSM,4760,13M Maintenance Alarm,Warning
8193,GBTS,3114,16K Signaling Not Support alarm,Major
268390408,BSC6910GSM,3114,16K Signaling Not Support alarm,Major
268390408,BSC6910GSM,2176,16K Signaling not Support Alarm,Major
8193,GBTS,2176,16K Signaling not Support Alarm,Major
8193,GBTS,4164,16K signaling not support alarm,Major
268390408,BSC6910GSM,4164,16K signaling not support alarm,Major
268390408,BSC6910GSM,3634,16K signaling not support alarm,Major
8193,GBTS,3634,16K signaling not support alarm,Major
268390408,BSC6910GSM,20201,1PPS State Abnormal,Major
268390409,BSC6910UMTS,20201,1PPS State Abnormal,Major
268390408,BSC6910GSM,2144,4 Diversity Alarm,Warning
268390408,BSC6910GSM,4132,4 Diversity Alarm,Warning
8193,GBTS,4132,4 Diversity Alarm,Warning
8193,GBTS,2144,4 Diversity Alarm,Warning
268390408,BSC6910GSM,2130,4-way Diversity receiving alarm,Major
8193,GBTS,2130,4-way Diversity receiving alarm,Major
268390408,BSC6910GSM,4118,4-way Diversity receiving alarm,Major
8193,GBTS,4118,4-way Diversity receiving alarm,Major
268390521,BTS5900,26831,802.1x Authentication Failure,Major
268390417,BTS3900,26831,802.1x Authentication Failure,Major
8200,BTS3900 LTE,26831,802.1x Authentication Failure,Major
268390522,BTS5900 LTE,26831,802.1x Authentication Failure,Major
268390523,BTS5900 WCDMA,26831,802.1x Authentication Failure,Major
268390540,BTS3900 5G,26831,802.1x Authentication Failure,Major
268390526,BTS5900 5G,26831,802.1x Authentication Failure,Major
268390451,MICRO BTS3900,26831,802.1x Authentication Failure,Major
125,BTS3900 WCDMA,26831,802.1x Authentication Failure,Major
8193,GBTS,3164,89C52 FLASH Memory alarm,Major
268390408,BSC6910GSM,3164,89C52 FLASH Memory alarm,Major
8193,GBTS,3204,8K reference clock alarm,Warning
268390408,BSC6910GSM,3204,8K reference clock alarm,Warning
100000,OSS,375,A Certificate Has Expired(CCE),Major
100000,OSS,376,A Certificate Is About to Expire(CCE),Major
268390409,BSC6910UMTS,21561,AAL2 Path Blocked,Warning
268390522,BTS5900 LTE,25838,AAL2 Path Fault,Major
268390417,BTS3900,25838,AAL2 Path Fault,Major
268390521,BTS5900,25838,AAL2 Path Fault,Major
268390523,BTS5900 WCDMA,25838,AAL2 Path Fault,Major
8200,BTS3900 LTE,25838,AAL2 Path Fault,Major
125,BTS3900 WCDMA,25838,AAL2 Path Fault,Major
268390521,BTS5900,26560,AAS Board Not In Position,Major
268390522,BTS5900 LTE,26560,AAS Board Not In Position,Major
268390417,BTS3900,26560,AAS Board Not In Position,Major
268390523,BTS5900 WCDMA,26560,AAS Board Not In Position,Major
125,BTS3900 WCDMA,26560,AAS Board Not In Position,Major
8200,BTS3900 LTE,26560,AAS Board Not In Position,Major
268390521,BTS5900,26561,AAS Hardware Fault,Major
268390417,BTS3900,26561,AAS Hardware Fault,Major
268390523,BTS5900 WCDMA,26561,AAS Hardware Fault,Major
125,BTS3900 WCDMA,26561,AAS Hardware Fault,Major
268390522,BTS5900 LTE,26561,AAS Hardware Fault,Major
8200,BTS3900 LTE,26561,AAS Hardware Fault,Major
8193,GBTS,6050,AC Arrester Failure,Warning
268390408,BSC6910GSM,6050,AC Arrester Failure,Warning
8193,GBTS,4936,AC Input DDRM Over Configuration Alarm,Major
268390408,BSC6910GSM,4936,AC Input DDRM Over Configuration Alarm,Major
8193,GBTS,28003,AC Input Power Failure,Major
268390408,BSC6910GSM,28003,AC Input Power Failure,Major
8193,GBTS,5734,AC Lightning Arrester Failure Alarm,Major
8193,GBTS,3966,AC Lightning Arrester Failure Alarm,Major
268390408,BSC6910GSM,3966,AC Lightning Arrester Failure Alarm,Major
268390408,BSC6910GSM,5734,AC Lightning Arrester Failure Alarm,Major
100000,OSS,367,AC Lost or Out-of-Range (PSN Status),Critical
8193,GBTS,5884,AC Lowvoltage Alarm,Major
8193,GBTS,2360,AC Lowvoltage Alarm,Major
268390408,BSC6910GSM,5884,AC Lowvoltage Alarm,Major
268390408,BSC6910GSM,2360,AC Lowvoltage Alarm,Major
8193,GBTS,12840,AC Off Alarm,Critical
268390408,BSC6910GSM,12840,AC Off Alarm,Critical
8193,GBTS,3706,AC Off or Battery Low Alarm,Warning
268390408,BSC6910GSM,3706,AC Off or Battery Low Alarm,Warning
8193,GBTS,3186,AC Off or Battery Low alarm,Warning
268390408,BSC6910GSM,3186,AC Off or Battery Low alarm,Warning
8193,GBTS,3926,AC Over Voltage Alarm,Major
268390408,BSC6910GSM,3926,AC Over Voltage Alarm,Major
268390408,BSC6910GSM,5992,AC Over Voltage Alarm,Major
8193,GBTS,5992,AC Over Voltage Alarm,Major
8193,GBTS,5882,AC Overvoltage Alarm,Major
268390408,BSC6910GSM,5702,AC Overvoltage Alarm,Major
268390408,BSC6910GSM,5882,AC Overvoltage Alarm,Major
8193,GBTS,5702,AC Overvoltage Alarm,Major
8193,GBTS,2358,AC Overvoltage Alarm,Major
268390408,BSC6910GSM,2358,AC Overvoltage Alarm,Major
268390521,BTS5900,25628,AC Surge Protector Fault,Major
268390540,BTS3900 5G,25628,AC Surge Protector Fault,Major
125,BTS3900 WCDMA,25628,AC Surge Protector Fault,Major
268390408,BSC6910GSM,25628,AC Surge Protector Fault,Major
268390526,BTS5900 5G,25628,AC Surge Protector Fault,Major
268390523,BTS5900 WCDMA,25628,AC Surge Protector Fault,Major
8193,GBTS,25628,AC Surge Protector Fault,Major
8200,BTS3900 LTE,25628,AC Surge Protector Fault,Major
268390417,BTS3900,25628,AC Surge Protector Fault,Major
8193,GBTS,13082,AC Surge Protector Fault,Major
268390522,BTS5900 LTE,25628,AC Surge Protector Fault,Major
268390408,BSC6910GSM,13082,AC Surge Protector Fault,Major
8193,GBTS,10796,AC Surge Protector Fault Alarm,Major
268390408,BSC6910GSM,10796,AC Surge Protector Fault Alarm,Major
8193,GBTS,3928,AC Under Voltage Alarm,Major
8193,GBTS,5994,AC Under Voltage Alarm,Major
268390408,BSC6910GSM,3928,AC Under Voltage Alarm,Major
268390408,BSC6910GSM,5994,AC Under Voltage Alarm,Major
8193,GBTS,5704,AC Undervoltage Alarm,Major
268390408,BSC6910GSM,5704,AC Undervoltage Alarm,Major
268390408,BSC6910GSM,2218,AIS Alarm,Major
268390408,BSC6910GSM,4718,AIS Alarm,Major
8193,GBTS,4718,AIS Alarm,Major
8193,GBTS,2218,AIS Alarm,Major
8200,BTS3900 LTE,26763,AISU Satellite Card Abnormal,Minor
125,BTS3900 WCDMA,26763,AISU Satellite Card Abnormal,Minor
268390523,BTS5900 WCDMA,26763,AISU Satellite Card Abnormal,Minor
268390417,BTS3900,26763,AISU Satellite Card Abnormal,Minor
268390522,BTS5900 LTE,26763,AISU Satellite Card Abnormal,Minor
268390521,BTS5900,26763,AISU Satellite Card Abnormal,Minor
268390522,BTS5900 LTE,25837,ALCAP Fault,Major
8200,BTS3900 LTE,25837,ALCAP Fault,Major
268390521,BTS5900,25837,ALCAP Fault,Major
268390523,BTS5900 WCDMA,25837,ALCAP Fault,Major
125,BTS3900 WCDMA,25837,ALCAP Fault,Major
268390417,BTS3900,25837,ALCAP Fault,Major
8193,GBTS,12814,ALD Communication Alarm,Major
8193,GBTS,10252,ALD Communication Alarm,Major
268390408,BSC6910GSM,12814,ALD Communication Alarm,Major
268390408,BSC6910GSM,10252,ALD Communication Alarm,Major
8193,GBTS,4240,ALD Communication Alarm,Major
268390408,BSC6910GSM,4240,ALD Communication Alarm,Major
8193,GBTS,12836,ALD Current Abnormal Alarm,Major
268390408,BSC6910GSM,4226,ALD Current Abnormal Alarm,Warning
268390408,BSC6910GSM,12836,ALD Current Abnormal Alarm,Major
8193,GBTS,4226,ALD Current Abnormal Alarm,Warning
8193,GBTS,12818,ALD Failure Alarm,Major
268390408,BSC6910GSM,12818,ALD Failure Alarm,Major
268390521,BTS5900,26752,ALD Hardware Fault,Minor
268390523,BTS5900 WCDMA,26752,ALD Hardware Fault,Minor
268390417,BTS3900,26752,ALD Hardware Fault,Minor
268390408,BSC6910GSM,26752,ALD Hardware Fault,Minor
8193,GBTS,26752,ALD Hardware Fault,Minor
125,BTS3900 WCDMA,26752,ALD Hardware Fault,Minor
268390540,BTS3900 5G,26752,ALD Hardware Fault,Minor
8200,BTS3900 LTE,26752,ALD Hardware Fault,Minor
268390526,BTS5900 5G,26752,ALD Hardware Fault,Minor
268390522,BTS5900 LTE,26752,ALD Hardware Fault,Minor
268390526,BTS5900 5G,26541,ALD Maintenance Link Failure,Major
8200,BTS3900 LTE,26541,ALD Maintenance Link Failure,Major
268390523,BTS5900 WCDMA,26541,ALD Maintenance Link Failure,Major
268390540,BTS3900 5G,26541,ALD Maintenance Link Failure,Major
8193,GBTS,26541,ALD Maintenance Link Failure,Major
268390408,BSC6910GSM,26541,ALD Maintenance Link Failure,Major
268390521,BTS5900,26541,ALD Maintenance Link Failure,Major
268390522,BTS5900 LTE,26541,ALD Maintenance Link Failure,Major
125,BTS3900 WCDMA,26541,ALD Maintenance Link Failure,Major
268390417,BTS3900,26541,ALD Maintenance Link Failure,Major
268390521,BTS5900,26762,ALD Permission Configuration and Running Data Inconsistency,Minor
268390523,BTS5900 WCDMA,26762,ALD Permission Configuration and Running Data Inconsistency,Minor
8200,BTS3900 LTE,26762,ALD Permission Configuration and Running Data Inconsistency,Minor
268390540,BTS3900 5G,26762,ALD Permission Configuration and Running Data Inconsistency,Minor
125,BTS3900 WCDMA,26762,ALD Permission Configuration and Running Data Inconsistency,Minor
268390526,BTS5900 5G,26762,ALD Permission Configuration and Running Data Inconsistency,Minor
268390522,BTS5900 LTE,26762,ALD Permission Configuration and Running Data Inconsistency,Minor
268390417,BTS3900,26762,ALD Permission Configuration and Running Data Inconsistency,Minor
100000,OSS,1522,ALM-Traffic Threshold Alarm (Major),Major
100000,OSS,1521,ALM-Traffic Threshold Alarm (Minor),Minor
100000,OSS,1520,ALM-Traffic Threshold Alarm (Warning),Warning
100000,OSS,1525,ALM-Users Threshold Alarm (Major),Major
100000,OSS,1524,ALM-Users Threshold Alarm (Minor),Minor
100000,OSS,1523,ALM-Users Threshold Alarm (Warning),Warning
8193,GBTS,3450,APC alarm,Major
268390408,BSC6910GSM,3450,APC alarm,Major
8193,GBTS,3952,APM Board Communication Alarm,Major
268390408,BSC6910GSM,3952,APM Board Communication Alarm,Major
8193,GBTS,3924,APMU extended B1 alarm,Warning
268390408,BSC6910GSM,3924,APMU extended B1 alarm,Warning
8193,GBTS,3944,APMU extended BB alarm,Warning
268390408,BSC6910GSM,3944,APMU extended BB alarm,Warning
8193,GBTS,3946,APMU extended BC alarm,Warning
268390408,BSC6910GSM,3946,APMU extended BC alarm,Warning
8193,GBTS,3956,APMU extended C1 alarm,Warning
268390408,BSC6910GSM,3956,APMU extended C1 alarm,Warning
8193,GBTS,3958,APMU extended C2 alarm,Warning
268390408,BSC6910GSM,3958,APMU extended C2 alarm,Warning
8193,GBTS,3982,APMU extended CE alarm,Warning
268390408,BSC6910GSM,3982,APMU extended CE alarm,Warning
8193,GBTS,3984,APMU extended CF alarm,Warning
268390408,BSC6910GSM,3984,APMU extended CF alarm,Warning
8193,GBTS,3986,APMU extended D0 alarm,Warning
268390408,BSC6910GSM,3986,APMU extended D0 alarm,Warning
8193,GBTS,3988,APMU extended D1 alarm,Warning
268390408,BSC6910GSM,3988,APMU extended D1 alarm,Warning
8193,GBTS,3990,APMU extended D2 alarm,Warning
268390408,BSC6910GSM,3990,APMU extended D2 alarm,Warning
8193,GBTS,3992,APMU extended D3 alarm,Warning
268390408,BSC6910GSM,3992,APMU extended D3 alarm,Warning
8193,GBTS,3994,APMU extended D4 alarm,Warning
