"	-48V Power too High Alarm",6486
"	-48V Power too Low Alarm",6488
13M Clock Maintenance Alarm,2989
13M Maintenance Alarm,4760
16K Signaling Not Support alarm,3272
1PPS State Abnormal,20201
4 Diversity Alarm,3138
4-way Diversity receiving alarm,3124
802.1x Authentication Failure,26831
89C52 FLASH Memory alarm,3164
8K reference clock alarm,3204
A Certificate Has Expired(CCE),375
A Certificate Is About to Expire(CCE),376
AAL2 Path Blocked,21561
AAL2 Path Fault,25838
AAS Board Not In Position,26560
AAS Hardware Fault,26561
Abis Control Port Fault,28060
Abnormal Alarm Service Health Check,100007
Abnormal Board Temperature Alarm,13320
Abnormal Counters Over the Limit,603
Abnormal Database Running Status,1060
Abnormal Deployment of the Primary and Secondary Sites,101204
Abnormal Fan Speed,4200
Abnormal File Replication Between the Local Active and Standby Nodes,1078
Abnormal GPS Alarm,13322
Abnormal Heartbeat,101201
Abnormal Heartbeat Between OSMU and OSS,1061
Abnormal Information About DIP Switch of Subrack,20249
Abnormal IP Clock Link Alarm,9922
Abnormal NIC Status,30001100
Abnormal Power Input for a Subrack,20051
Abnormal Receiving on OLP Trunk Optical Fiber Port,25732
Abnormal Replication,101200
Abnormal SSH Trust Relationship,1045
Abnormal Temperature at the Air Inlet of the Cabinet,13100
Abnormal Temperature at the Air Outlet of the Cabinet,13098
AC Arrester Failure,6050
AC Input DDRM Over Configuration Alarm,4936
AC Input Power Failure,28003
AC Lightning Arrester Failure Alarm,4850
AC Lost or Out-of-Range (PSN Status),367
AC Lowvoltage Alarm,4122
AC Off Alarm,12840
AC Off or Battery Low Alarm,3446
AC Over Voltage Alarm,4959
AC Overvoltage Alarm,4647.333333
AC Surge Protector Fault,23537
AC Surge Protector Fault Alarm,10796
AC Under Voltage Alarm,4961
AC Undervoltage Alarm,5704
Access Control Alarm,4942
Active and Standby OMU Communication Link Failure,20702
Active OMU Communication Excessive Error Packet Rate,20910
Active Workspace Version Unavailable,26250
Active/Standby Status Inconsistency Between Built-in NE and Host NE,20907
Adjacent Node Congestion,21603
Adjacent Node IP Address Ping Failure,21392
Adjacent Node IP Path Excessive Packet Loss Rate,21395
Adjacent Node IP Path Ping Failure,21393
Aggregated Alarm,100901
Air-Conditioner Protection Alarm,5580
Air-conditioner/Heat-exchanger Alarm,3496
AIS Alarm,3468
AISU Satellite Card Abnormal,26763
Alarm Box Disconnected,20740
Alarm indicating that more than 30 objects meet the threshold condition in the same period,1500
Alarm indicating that the threshold for Cell activation success rate exceeds the limit,1502
Alarm indicating that the threshold for Cell attach success rate exceeds the limit,1501
Alarm indicating that the threshold for Cell inter-SGSN RAU success rate exceeds the limit,1504
Alarm indicating that the threshold for Cell intra-SGSN RAU success rate exceeds the limit,1503
Alarm indicating that the threshold for MME attach success rate exceeds the limit,1515
Alarm indicating that the threshold for MME create bearer success rate exceeds the limit,1516
Alarm indicating that the threshold for MME inter-MME TAU success rate exceeds the limit,1517
Alarm indicating that the threshold for MME intra-MME TAU success rate exceeds the limit,1518
Alarm indicating that the threshold for RAI activation success rate exceeds the limit,1506
Alarm indicating that the threshold for RAI attach success rate exceeds the limit,1505
Alarm indicating that the threshold for RAI inter-SGSN RAU success rate exceeds the limit,1508
Alarm indicating that the threshold for RAI intra-SGSN RAU success rate exceeds the limit,1507
Alarm indicating that the threshold for SGSN activation success rate exceeds the limit,1510
Alarm indicating that the threshold for SGSN attach success rate exceeds the limit,1509
Alarm indicating that the threshold for TAI attach success rate exceeds the limit,1511
Alarm indicating that the threshold for TAI create bearer success rate exceeds the limit,1512
Alarm indicating that the threshold for TAI inter-MME TAU success rate exceeds the limit,1513
Alarm indicating that the threshold for TAI intra-MME TAU success rate exceeds the limit,1514
Alarm indicating that the Trace Server is disconnected from the SAU data channel,781
Alarm of the Failure to Connect the Master and Standby Syslog Servers,122
Alarm of the Switchover to the Standby Syslog Server,121
Alarm Receiving Failures Due to Device Disconnection,101207
ALCAP Fault,25837
ALD Communication Alarm,9102
ALD Current Abnormal Alarm,8531
ALD Failure Alarm,12818
ALD Hardware Fault,26752
ALD Maintenance Link Failure,26541
ALD Permission Configuration and Running Data Inconsistency,26762
All Cell Access Barred Under a BSC,21838
ALM-Traffic Threshold Alarm (Major),1522
ALM-Traffic Threshold Alarm (Minor),1521
ALM-Traffic Threshold Alarm (Warning),1520
ALM-Users Threshold Alarm (Major),1525
ALM-Users Threshold Alarm (Minor),1524
ALM-Users Threshold Alarm (Warning),1523
Ambient Humidity Abnormal,16568
Ambient Humidity Too High,5638
Ambient Humidity Too Low,5640
Ambient Humidity Unacceptable,25651
Ambient Temperature Abnormal,16566.5
Ambient Temperature Too High Alarm,5220.666667
Ambient Temperature Too Low Alarm,5222.666667
Ambient Temperature Unacceptable,25650
"An OSS User Is Added to the Administrators, SMManagers, or Subdomain Security Administrator Group",299
Annual software service fee has expired,999999990
Annual software service fee is due soon,999999989
Antenna and TMA Control Unit Communication Alarm,10246
Antenna Parameter Value Fluctuation Exceeds the Threshold,411
APC alarm,3450
APM Board Communication Alarm,3952
APMU extended B1 alarm,3924
APMU extended BB alarm,3944
APMU extended BC alarm,3946
APMU extended C1 alarm,3956
APMU extended C2 alarm,3958
APMU extended CE alarm,3982
APMU extended CF alarm,3984
APMU extended D0 alarm,3986
APMU extended D1 alarm,3988
APMU extended D2 alarm,3990
APMU extended D3 alarm,3992
APMU extended D4 alarm,3994
APMU extended D5 alarm,3996
