logdate,end_id,nename,enodebname,site_id,enodebid,cellname,cellid,localcellid,sector,ecgi,frequencyband,dlearfcn,dlbw,ulbw,channelid,frequency,bandname,enbclass,mocnflag,celltype,celladminstatus,cellactivestatus,cnoperator,mcc,mnc,tac,pci,rootseqindex,rspower,pa,pb,watts,cellprio,qrxlevmin,qoffsetfreq,cellspecificoffset,cellradius,txrxmode,uepowermax,nbcellflag,cellcompression,uli,enodebversion,regional,uf,anf,ibge_id,municipio,regiao_espectro,latitude,longitude,status_ngnis,status_device,servidor
2026-08-09,PRADP_0002,SR-ADNS01,4G-ADNS01,SR-ADNS01,267680,4G-ADNS01-07-A,13,13,1,724-04-68526093,28,9410,10.000,10.000,941010,700,700T,NOT_SHARED,FALSE,NC-IoT/MIMO 2x2,UNBLOCK,ACTIVE,TIM,724,4,34180,227,88,181,1.000,0,49.000,7,-60,0.000,0.000,10000,2T2R,23,FALSE,NO COMPRESSION,ON,BTS5900 V100R020C10SPC270,TSL,PR,41,410020,ADRIANOPOLIS,PR/SC,-24.656333,-48.993611,IN SERVICE,IN SERVICE,10.220.30.9
2026-08-09,PRADP_0002,SR-ADNS01,4G-ADNS01,SR-ADNS01,267680,4G-ADNS01-07-B,14,14,2,724-04-68526094,28,9410,10.000,10.000,941010,700,700T,NOT_SHARED,FALSE,NC-IoT/MIMO 2x2,UNBLOCK,ACTIVE,TIM,724,4,34180,226,160,181,1.000,0,49.000,7,-60,0.000,0.000,10000,2T2R,23,FALSE,NO COMPRESSION,ON,BTS5900 V100R020C10SPC270,TSL,PR,41,410020,ADRIANOPOLIS,PR/SC,-24.656333,-48.993611,IN SERVICE,IN SERVICE,10.220.30.9
2026-08-09,PRADP_0002,SR-ADNS01,4G-ADNS01,SR-ADNS01,267680,4G-ADNS01-07-C,15,15,3,724-04-68526095,28,9410,10.000,10.000,941010,700,700T,NOT_SHARED,FALSE,NC-IoT/MIMO 2x2,UNBLOCK,ACTIVE,TIM,724,4,34180,225,640,181,1.000,0,49.000,7,-60,0.000,0.000,10000,2T2R,23,FALSE,NO COMPRESSION,ON,BTS5900 V100R020C10SPC270,TSL,PR,41,410020,ADRIANOPOLIS,PR/SC,-24.656333,-48.993611,IN SERVICE,IN SERVICE,10.220.30.9
2026-08-09,PRADP_0002,SR-ADNS01,4G-ADNS01,SR-ADNS01,267680,4G-ADNS01-07-IA,43,43,1,724-04-68526123,28,9362,0.200,0.200,936202,700,700T,NOT_SHARED,FALSE,NB-IoT/MIMO 2x2,UNBLOCK,ACTIVE,TIM,724,4,44180,227,,225,-3.000,1,1.000,7,-68,0.000,0.000,,2T2R,,TRUE,NO COMPRESSION,OFF,BTS5900 V100R020C10SPC270,TSL,PR,41,410020,ADRIANOPOLIS,PR/SC,-24.656333,-48.993611,IN SERVICE,IN SERVICE,10.220.30.9
2026-08-09,PRADP_0002,SR-ADNS01,4G-ADNS01,SR-ADNS01,267680,4G-ADNS01-07-IB,44,44,2,724-04-68526124,28,9362,0.200,0.200,936202,700,700T,NOT_SHARED,FALSE,NB-IoT/MIMO 2x2,UNBLOCK,ACTIVE,TIM,724,4,44180,226,,225,-3.000,1,1.000,7,-68,0.000,0.000,,2T2R,,TRUE,NO COMPRESSION,OFF,BTS5900 V100R020C10SPC270,TSL,PR,41,410020,ADRIANOPOLIS,PR/SC,-24.656333,-48.993611,IN SERVICE,IN SERVICE,10.220.30.9
2026-08-09,PRADP_0002,SR-ADNS01,4G-ADNS01,SR-ADNS01,267680,4G-ADNS01-07-IC,45,45,3,724-04-68526125,28,9362,0.200,0.200,936202,700,700T,NOT_SHARED,FALSE,NB-IoT/MIMO 2x2,UNBLOCK,ACTIVE,TIM,724,4,44180,225,,225,-3.000,1,1.000,7,-68,0.000,0.000,,2T2R,,TRUE,NO COMPRESSION,OFF,BTS5900 V100R020C10SPC270,TSL,PR,41,410020,ADRIANOPOLIS,PR/SC,-24.656333,-48.993611,IN SERVICE,IN SERVICE,10.220.30.9
2026-08-09,PRADP_0018,SR-ADNS02,4G-ADNS02,SR-ADNS02,267337,4G-ADNS02-07-A,13,13,1,724-04-68438285,28,9410,10.000,10.000,941010,700,700T,NOT_SHARED,FALSE,NC-IoT/MIMO 2x2,UNBLOCK,ACTIVE,TIM,724,4,34197,26,256,211,-3.000,1,39.000,7,-60,0.000,0.000,10000,2T2R,23,FALSE,NO COMPRESSION,OFF,BTS5900 V100R020C10SPC270,TSL,PR,41,410020,ADRIANOPOLIS,PR/SC,-24.884568,-49.072545,IN SERVICE,IN SERVICE,10.220.30.9
2026-08-09,PRADP_0018,SR-ADNS02,4G-ADNS02,SR-ADNS02,267337,4G-ADNS02-07-B,14,14,2,724-04-68438286,28,9410,10.000,10.000,941010,700,700T,NOT_SHARED,FALSE,NC-IoT/MIMO 2x2,UNBLOCK,ACTIVE,TIM,724,4,34197,25,288,211,-3.000,1,39.000,7,-60,0.000,0.000,10000,2T2R,23,FALSE,NO COMPRESSION,OFF,BTS5900 V100R020C10SPC270,TSL,PR,41,410020,ADRIANOPOLIS,PR/SC,-24.884568,-49.072545,IN SERVICE,IN SERVICE,10.220.30.9
2026-08-09,PRADP_0018,SR-ADNS02,4G-ADNS02,SR-ADNS02,267337,4G-ADNS02-07-C,15,15,3,724-04-68438287,28,9410,10.000,10.000,941010,700,700T,NOT_SHARED,FALSE,NC-IoT/MIMO 2x2,UNBLOCK,ACTIVE,TIM,724,4,34197,24,376,211,-3.000,1,39.000,7,-60,0.000,0.000,10000,2T2R,23,FALSE,NO COMPRESSION,OFF,BTS5900 V100R020C10SPC270,TSL,PR,41,410020,ADRIANOPOLIS,PR/SC,-24.884568,-49.072545,IN SERVICE,IN SERVICE,10.220.30.9
2026-08-09,PRADP_0018,SR-ADNS02,4G-ADNS02,SR-ADNS02,267337,4G-ADNS02-07-IA,43,43,1,724-04-68438315,28,9362,0.200,0.200,936202,700,700T,NOT_SHARED,FALSE,NB-IoT/MIMO 2x2,UNBLOCK,ACTIVE,TIM,724,4,44197,26,,225,-3.000,1,1.000,7,-68,0.000,0.000,,2T2R,,TRUE,NO COMPRESSION,OFF,BTS5900 V100R020C10SPC270,TSL,PR,41,410020,ADRIANOPOLIS,PR/SC,-24.884568,-49.072545,IN SERVICE,IN SERVICE,10.220.30.9
2026-08-09,PRADP_0018,SR-ADNS02,4G-ADNS02,SR-ADNS02,267337,4G-ADNS02-07-IB,44,44,2,724-04-68438316,28,9362,0.200,0.200,936202,700,700T,NOT_SHARED,FALSE,NB-IoT/MIMO 2x2,UNBLOCK,ACTIVE,TIM,724,4,44197,25,,225,-3.000,1,1.000,7,-68,0.000,0.000,,2T2R,,TRUE,NO COMPRESSION,OFF,BTS5900 V100R020C10SPC270,TSL,PR,41,410020,ADRIANOPOLIS,PR/SC,-24.884568,-49.072545,IN SERVICE,IN SERVICE,10.220.30.9
2026-08-09,PRADP_0018,SR-ADNS02,4G-ADNS02,SR-ADNS02,267337,4G-ADNS02-07-IC,45,45,3,724-04-68438317,28,9362,0.200,0.200,936202,700,700T,NOT_SHARED,FALSE,NB-IoT/MIMO 2x2,UNBLOCK,ACTIVE,TIM,724,4,44197,24,,225,-3.000,1,1.000,7,-68,0.000,0.000,,2T2R,,TRUE,NO COMPRESSION,OFF,BTS5900 V100R020C10SPC270,TSL,PR,41,410020,ADRIANOPOLIS,PR/SC,-24.884568,-49.072545,IN SERVICE,IN SERVICE,10.220.30.9
2026-08-09,PRADP_0019,SR-ADNS03,4G-ADNS03,SR-ADNS03,270310,4G-ADNS03-07-A,13,13,1,724-04-69199373,28,9410,10.000,10.000,941010,700,700T,NOT_SHARED,FALSE,NC-IoT/MIMO 2x2,UNBLOCK,ACTIVE,TIM,724,4,34197,19,209,211,-3.000,1,39.000,7,-60,0.000,0.000,10000,2T2R,23,FALSE,NO COMPRESSION,OFF,BTS5900 V100R020C10SPC270,TSL,PR,41,410020,ADRIANOPOLIS,PR/SC,-24.808847,-49.041585,IN SERVICE,IN SERVICE,10.220.30.9
2026-08-09,PRADP_0019,SR-ADNS03,4G-ADNS03,SR-ADNS03,270310,4G-ADNS03-07-B,14,14,2,724-04-69199374,28,9410,10.000,10.000,941010,700,700T,NOT_SHARED,FALSE,NC-IoT/MIMO 2x2,UNBLOCK,ACTIVE,TIM,724,4,34197,20,328,211,-3.000,1,39.000,7,-60,0.000,0.000,10000,2T2R,23,FALSE,NO COMPRESSION,OFF,BTS5900 V100R020C10SPC270,TSL,PR,41,410020,ADRIANOPOLIS,PR/SC,-24.808847,-49.041585,IN SERVICE,IN SERVICE,10.220.30.9
2026-08-09,PRADP_0019,SR-ADNS03,4G-ADNS03,SR-ADNS03,270310,4G-ADNS03-07-C,15,15,3,724-04-69199375,28,9410,10.000,10.000,941010,700,700T,NOT_SHARED,FALSE,NC-IoT/MIMO 2x2,UNBLOCK,ACTIVE,TIM,724,4,34197,18,360,211,-3.000,1,39.000,7,-60,0.000,0.000,10000,2T2R,23,FALSE,NO COMPRESSION,OFF,BTS5900 V100R020C10SPC270,TSL,PR,41,410020,ADRIANOPOLIS,PR/SC,-24.808847,-49.041585,IN SERVICE,IN SERVICE,10.220.30.9
2026-08-09,PRADP_0019,SR-ADNS03,4G-ADNS03,SR-ADNS03,270310,4G-ADNS03-07-IA,43,43,1,724-04-69199403,28,9362,0.200,0.200,936202,700,700T,NOT_SHARED,FALSE,NB-IoT/MIMO 2x2,UNBLOCK,ACTIVE,TIM,724,4,44197,19,,225,-3.000,1,1.000,7,-68,0.000,0.000,,2T2R,,TRUE,NO COMPRESSION,OFF,BTS5900 V100R020C10SPC270,TSL,PR,41,410020,ADRIANOPOLIS,PR/SC,-24.808847,-49.041585,IN SERVICE,IN SERVICE,10.220.30.9
2026-08-09,PRADP_0019,SR-ADNS03,4G-ADNS03,SR-ADNS03,270310,4G-ADNS03-07-IB,44,44,2,724-04-69199404,28,9362,0.200,0.200,936202,700,700T,NOT_SHARED,FALSE,NB-IoT/MIMO 2x2,UNBLOCK,ACTIVE,TIM,724,4,44197,20,,225,-3.000,1,1.000,7,-68,0.000,0.000,,2T2R,,TRUE,NO COMPRESSION,OFF,BTS5900 V100R020C10SPC270,TSL,PR,41,410020,ADRIANOPOLIS,PR/SC,-24.808847,-49.041585,IN SERVICE,IN SERVICE,10.220.30.9
2026-08-09,PRADP_0019,SR-ADNS03,4G-ADNS03,SR-ADNS03,270310,4G-ADNS03-07-IC,45,45,3,724-04-69199405,28,9362,0.200,0.200,936202,700,700T,NOT_SHARED,FALSE,NB-IoT/MIMO 2x2,UNBLOCK,ACTIVE,TIM,724,4,44197,18,,225,-3.000,1,1.000,7,-68,0.000,0.000,,2T2R,,TRUE,NO COMPRESSION,OFF,BTS5900 V100R020C10SPC270,TSL,PR,41,410020,ADRIANOPOLIS,PR/SC,-24.808847,-49.041585,IN SERVICE,IN SERVICE,10.220.30.9
2026-08-09,PRADP_0020,SR-ADNS04,4G-ADNS04,SR-ADNS04,267336,4G-ADNS04-07-A,13,13,1,724-04-68438029,28,9410,10.000,10.000,941010,700,700T,NOT_SHARED,FALSE,NC-IoT/MIMO 2x2,UNBLOCK,ACTIVE,TIM,724,4,34199,80,232,181,2.000,0,61.000,7,-60,0.000,0.000,10000,2T2R,23,FALSE,NO COMPRESSION,OFF,BTS5900 V100R020C10SPC270,TSL,PR,41,410020,ADRIANOPOLIS,PR/SC,-24.683516,-48.816773,IN SERVICE,IN SERVICE,10.220.30.9
