Old - Site Name,Logical Site,Short Name,Old - Cell Name,Cell Name,Cell Type,Latitude,Longitude,UF,ANF,City,MCC,MNC,Old - Site ID,eNodeB ID,Old - Cell ID,Cell ID,Antenna Height (m),Azimuth,E-Tilt Existente (AAU 4G),E. Tilt,M.Tilt,M.Tilt AAU LTE,Antenna Model,Carriers (MHz),Frequency Band,DL EARFCN,DL Bandwidth (MHz),UL Bandwidth (MHz),TAC,PCI,Min Root,Sector,TXRX,"Split (by Freq, non-sectors especifications)",Frequency,RRU Model,Duplex Mode,Cloud Air Check,Change,Remark,OLD Short Name,OLD Site Name,Cluster,Sub-Cluster,Master Cluster,Infra,Ran Sharing,Setores 4G mMIMO (Main v302),RS Power,PA,PB
-,SR-SP05IM,SP05IM,-,4G-SP05IM-26-A,Normal,-23.64875,-46.718167,SP,11,SAO PAULO,724,3,-,725437,-,1,18,0,,2,0,-,-,2600,7,3150,20M,20M,31151,151,624,S1,2T2R,,L2600,RRU5527t,FDD,,,,SP059M,SR-SP059M,SANTOAMARO_CAMPOBELO,SANTOAMARO_CAMPOBELO D,A,Esta��o M�vel,,,15.2,DB0_P_A,false
-,SR-SP05IM,SP05IM,-,4G-SP05IM-26-B,Normal,-23.64875,-46.718167,SP,11,SAO PAULO,724,3,-,725437,-,2,18,120,,2,0,-,-,2600,7,3150,20M,20M,31151,0,616,S2,2T2R,,L2600,RRU5527t,FDD,,,,SP059M,SR-SP059M,SANTOAMARO_CAMPOBELO,SANTOAMARO_CAMPOBELO D,A,Esta��o M�vel,,,15.2,DB0_P_A,false
-,SR-SP05IM,SP05IM,-,4G-SP05IM-26-C,Normal,-23.64875,-46.718167,SP,11,SAO PAULO,724,3,-,725437,-,3,18,240,,2,0,-,-,2600,7,3150,20M,20M,31151,500,576,S3,2T2R,,L2600,RRU5527t,FDD,,,,SP059M,SR-SP059M,SANTOAMARO_CAMPOBELO,SANTOAMARO_CAMPOBELO D,A,Esta��o M�vel,,,15.2,DB0_P_A,false
-,SR-SP05IM,SP05IM,-,4G-SP05IM-18-A,Normal,-23.64875,-46.718167,SP,11,SAO PAULO,724,3,-,725437,-,9,18,0,,2,0,-,-,1800,3,1276,15M,15M,31151,454,568,S1,2T2R,,L1800,RRU5527t,FDD,,,,SP059M,SR-SP059M,SANTOAMARO_CAMPOBELO,SANTOAMARO_CAMPOBELO D,A,Esta��o M�vel,,,15.2,DB0_P_A,false
-,SR-SP05IM,SP05IM,-,4G-SP05IM-18-B,Normal,-23.64875,-46.718167,SP,11,SAO PAULO,724,3,-,725437,-,10,18,120,,2,0,-,-,1800,3,1276,15M,15M,31151,36,560,S2,2T2R,,L1800,RRU5527t,FDD,,,,SP059M,SR-SP059M,SANTOAMARO_CAMPOBELO,SANTOAMARO_CAMPOBELO D,A,Esta��o M�vel,,,15.2,DB0_P_A,false
-,SR-SP05IM,SP05IM,-,4G-SP05IM-18-C,Normal,-23.64875,-46.718167,SP,11,SAO PAULO,724,3,-,725437,-,11,18,240,,2,0,-,-,1800,3,1276,15M,15M,31151,311,552,S3,2T2R,,L1800,RRU5527t,FDD,,,,SP059M,SR-SP059M,SANTOAMARO_CAMPOBELO,SANTOAMARO_CAMPOBELO D,A,Esta��o M�vel,,,15.2,DB0_P_A,false
-,SR-SP05IM,SP05IM,-,4G-SP05IM-21-A,Normal,-23.64875,-46.718167,SP,11,SAO PAULO,724,3,-,725437,-,21,18,0,,2,0,-,-,2100,1,75,15M,15M,31151,160,632,S1,2T2R,,L2100,RRU5527t,FDD,,,,SP059M,SR-SP059M,SANTOAMARO_CAMPOBELO,SANTOAMARO_CAMPOBELO D,A,Esta��o M�vel,,,15.2,DB0_P_A,false
-,SR-SP05IM,SP05IM,-,4G-SP05IM-21-B,Normal,-23.64875,-46.718167,SP,11,SAO PAULO,724,3,-,725437,-,22,18,120,,2,0,-,-,2100,1,75,15M,15M,31151,33,624,S2,2T2R,,L2100,RRU5527t,FDD,,,,SP059M,SR-SP059M,SANTOAMARO_CAMPOBELO,SANTOAMARO_CAMPOBELO D,A,Esta��o M�vel,,,15.2,DB0_P_A,false
-,SR-SP05IM,SP05IM,-,4G-SP05IM-21-C,Normal,-23.64875,-46.718167,SP,11,SAO PAULO,724,3,-,725437,-,23,18,240,,2,0,-,-,2100,1,75,15M,15M,31151,41,616,S3,2T2R,,L2100,RRU5527t,FDD,,,,SP059M,SR-SP059M,SANTOAMARO_CAMPOBELO,SANTOAMARO_CAMPOBELO D,A,Esta��o M�vel,,,15.2,DB0_P_A,false
-,SR-SP05IM,SP05IM,-,4G-SP05IM-18-IA,NB-IoT,-23.64875,-46.718167,SP,11,SAO PAULO,724,3,-,725437,-,39,18,0,,0,0,-,-,1800,3,1204,0.2M,0.2M,41151,454,-,S1,-,-,L1800,,FDD,,NEW,NB-IoT (1800),SP059M,SR-SP059M,SANTOAMARO_CAMPOBELO,SANTOAMARO_CAMPOBELO D,A,Esta��o M�vel,,,,,
-,SR-SP05IM,SP05IM,-,4G-SP05IM-18-IB,NB-IoT,-23.64875,-46.718167,SP,11,SAO PAULO,724,3,-,725437,-,40,18,120,,0,0,-,-,1800,3,1204,0.2M,0.2M,41151,36,-,S2,-,-,L1800,,FDD,,NEW,NB-IoT (1800),SP059M,SR-SP059M,SANTOAMARO_CAMPOBELO,SANTOAMARO_CAMPOBELO D,A,Esta��o M�vel,,,,,
