"Monitoramento Peão Barretos 2026 - Smart Events 5G NR CELL (2461)"

"Save Time:2026-08-21 14:20:53"

"User Name:80497131"

"Total 51 records"

"Object","Period(minute)","Start Time","N.User.RRCConn.Avg(None)","N.Cell.Avail.Dur(s)","N.QosFlow.Est.Succ(None)","N.QosFlow.Est.Att.EmcFB(None)","N.QosFlow.Est.Att(None)","N.QosFlow.Est.Att.EPSFB(None)","N.NGSig.ConnEst.Succ(None)","N.NGSig.ConnEst.Att(None)","N.RRC.SetupReq.Att(None)","N.RRC.SetupReq.Succ(None)","N.QosFlow.FailEst.AMF.SyntaxError(None)","N.QosFlow.FailEst.Conflict(None)","N.QosFlow.NormRel(None)","N.QosFlow.AbnormRel(None)","N.QosFlow.RrcInactiveToIdle.Rel(None)","N.RRC.ResumeReq.Att(None)","N.QosFlow.Resume.Succ(None)","N.RRC.ResumeReq.Succ(None)","N.QosFlow.Resume.Att(None)","N.QosFlow.RrcConnToInactive.Suspend(None)"
"MRX91_SP-gNodeB Function Name=SRX91_SP, NR Cell ID=592, Cell Name=5SRX912, gNodeB ID=5903127, Cell ID=592","1","2026-08-21 14:18:00","110.8","60","54","0","54","0","50","50","49","49","0","0","58","0","1","15","18","15","18","23"
"MRX91_SP-gNodeB Function Name=SRX91_SP, NR Cell ID=591, Cell Name=5SRX911, gNodeB ID=5903127, Cell ID=591","1","2026-08-21 14:18:00","7.2","60","2","0","2","0","1","1","1","1","0","0","1","0","1","1","2","1","2","2"
"MCOM1_SP-gNodeB Function Name=SCOM1_SP, NR Cell ID=591, Cell Name=5SCOM11, gNodeB ID=5901193, Cell ID=591","1","2026-08-21 14:18:00","156","60","48","0","48","0","47","47","41","41","0","0","53","2","0","8","10","8","10","8"
"MVKM1_SP-gNodeB Function Name=SVKM1_SP, NR Cell ID=593, Cell Name=5SVKM13, gNodeB ID=5902233, Cell ID=593","1","2026-08-21 14:18:00","226.267","60","58","0","60","1","59","59","58","56","0","0","51","0","0","3","4","3","4","5"
"MVKM1_SP-gNodeB Function Name=SVKM1_SP, NR Cell ID=592, Cell Name=5SVKM12, gNodeB ID=5902233, Cell ID=592","1","2026-08-21 14:18:00","593.033","60","132","0","132","0","122","122","121","117","0","0","119","0","4","24","32","23","34","32"
"MRX71_SP-gNodeB Function Name=SRX71_SP, NR Cell ID=593, Cell Name=5SRX713, gNodeB ID=5903121, Cell ID=593","1","2026-08-21 14:18:00","3.016","","","","","","","","","","","","","","","","","","",""
"MVKM1_SP-gNodeB Function Name=SVKM1_SP, NR Cell ID=591, Cell Name=5SVKM11, gNodeB ID=5902233, Cell ID=591","1","2026-08-21 14:18:00","17.617","60","0","0","0","0","1","1","1","1","0","0","4","0","0","0","0","0","0","0"
"MRX71_SP-gNodeB Function Name=SRX71_SP, NR Cell ID=592, Cell Name=5SRX712, gNodeB ID=5903121, Cell ID=592","1","2026-08-21 14:18:00","3.197","","","","","","","","","","","","","","","","","","",""
"MRX71_SP-gNodeB Function Name=SRX71_SP, NR Cell ID=591, Cell Name=5SRX711, gNodeB ID=5903121, Cell ID=591","1","2026-08-21 14:18:00","10.902","","","","","","","","","","","","","","","","","","",""
"MRX61_SP-gNodeB Function Name=SRX61_SP, NR Cell ID=593, Cell Name=5SRX613, gNodeB ID=5902166, Cell ID=593","1","2026-08-21 14:18:00","4.833","","","","","","","","","","","","","","","","","","",""
"MRX61_SP-gNodeB Function Name=SRX61_SP, NR Cell ID=592, Cell Name=5SRX612, gNodeB ID=5902166, Cell ID=592","1","2026-08-21 14:18:00","16.95","","","","","","","","","","","","","","","","","","",""
"MRX51_SP-gNodeB Function Name=SRX51_SP, NR Cell ID=593, Cell Name=5SRX513, gNodeB ID=5903128, Cell ID=593","1","2026-08-21 14:18:00","100.65","60","21","0","21","0","20","20","19","19","0","0","23","0","0","10","10","10","10","8"
"MRX61_SP-gNodeB Function Name=SRX61_SP, NR Cell ID=591, Cell Name=5SRX611, gNodeB ID=5902166, Cell ID=591","1","2026-08-21 14:18:00","48.5","","","","","","","","","","","","","","","","","","",""
"MRX51_SP-gNodeB Function Name=SRX51_SP, NR Cell ID=592, Cell Name=5SRX512, gNodeB ID=5903128, Cell ID=592","1","2026-08-21 14:18:00","67.517","60","26","0","26","0","25","25","25","25","0","0","26","0","0","3","3","3","3","2"
"MRX81_SP-gNodeB Function Name=SRX81_SP, NR Cell ID=593, Cell Name=5SRX813, gNodeB ID=5903125, Cell ID=593","1","2026-08-21 14:18:00","17.885","","","","","","","","","","","","","","","","","","",""
"MRX51_SP-gNodeB Function Name=SRX51_SP, NR Cell ID=591, Cell Name=5SRX511, gNodeB ID=5903128, Cell ID=591","1","2026-08-21 14:18:00","177.667","60","43","0","43","0","37","37","33","33","0","0","37","0","2","6","7","6","7","11"
"MRX81_SP-gNodeB Function Name=SRX81_SP, NR Cell ID=592, Cell Name=5SRX812, gNodeB ID=5903125, Cell ID=592","1","2026-08-21 14:18:00","39.18","","","","","","","","","","","","","","","","","","",""
"MRX81_SP-gNodeB Function Name=SRX81_SP, NR Cell ID=591, Cell Name=5SRX811, gNodeB ID=5903125, Cell ID=591","1","2026-08-21 14:18:00","34.689","","","","","","","","","","","","","","","","","","",""
"MCOM1_SP-gNodeB Function Name=SCOM1_SP, NR Cell ID=593, Cell Name=5SCOM13, gNodeB ID=5901193, Cell ID=593","1","2026-08-21 14:18:00","98.983","60","38","0","40","0","30","30","28","28","0","1","27","0","0","3","4","3","4","5"
"MCOM1_SP-gNodeB Function Name=SCOM1_SP, NR Cell ID=592, Cell Name=5SCOM12, gNodeB ID=5901193, Cell ID=592","1","2026-08-21 14:18:00","142.467","60","40","0","42","1","38","38","37","37","0","1","47","1","0","7","7","7","7","4"
"MRX91_SP-gNodeB Function Name=SRX91_SP, NR Cell ID=593, Cell Name=5SRX913, gNodeB ID=5903127, Cell ID=593","1","2026-08-21 14:18:00","51.933","60","15","0","15","0","19","19","20","19","0","0","14","0","0","11","14","11","14","12"
"MRX91_SP-gNodeB Function Name=SRX91_SP, NR Cell ID=592, Cell Name=5SRX912, gNodeB ID=5903127, Cell ID=592","1","2026-08-21 14:17:00","111.167","60","39","0","39","0","41","41","41","41","0","0","34","0","0","10","17","10","17","21"
"MRX91_SP-gNodeB Function Name=SRX91_SP, NR Cell ID=591, Cell Name=5SRX911, gNodeB ID=5903127, Cell ID=591","1","2026-08-21 14:17:00","10.433","60","1","0","1","0","1","1","1","1","0","0","1","0","1","0","0","0","0","1"
"MCOM1_SP-gNodeB Function Name=SCOM1_SP, NR Cell ID=591, Cell Name=5SCOM11, gNodeB ID=5901193, Cell ID=591","1","2026-08-21 14:17:00","159.167","60","41","0","43","0","42","42","40","39","0","2","45","0","1","7","8","7","8","5"
"MVKM1_SP-gNodeB Function Name=SVKM1_SP, NR Cell ID=593, Cell Name=5SVKM13, gNodeB ID=5902233, Cell ID=593","1","2026-08-21 14:17:00","220.867","60","56","0","56","0","51","51","49","49","0","0","44","0","0","1","2","1","2","5"
